Id,Name,Image,More
1,Brad Pitt,https://user-images.githubusercontent.com/46791116/120309629-5b40f500-c2cd-11eb-8932-c462908f5543.png,https://user-images.githubusercontent.com/46791116/120485231-cc56da00-c3ab-11eb-8103-c9ed5abcee5c.png
3,Johnson Dwayne,https://user-images.githubusercontent.com/46791116/120309655-6562f380-c2cd-11eb-9e93-c6b4b73f4499.png,https://user-images.githubusercontent.com/46791116/120485368-ec869900-c3ab-11eb-96ce-f6ff8ba68c02.png
5,Jony Deep,https://user-images.githubusercontent.com/46791116/120309691-6f84f200-c2cd-11eb-90ff-f7294c93b5ac.png,https://user-images.githubusercontent.com/46791116/120485371-ed1f2f80-c3ab-11eb-891f-ed5ebb44acb7.png
7,Leonardo Dicaprio,https://user-images.githubusercontent.com/46791116/120309721-7a3f8700-c2cd-11eb-8019-05654fb62f8d.png,https://user-images.githubusercontent.com/46791116/120485374-edb7c600-c3ab-11eb-824e-26610a62437d.png
9,Matt Damon,https://user-images.githubusercontent.com/46791116/120309786-8b889380-c2cd-11eb-9095-0f521f2525ab.png,https://user-images.githubusercontent.com/46791116/120485378-ee505c80-c3ab-11eb-86a3-7557994e734d.png
11,Morgan Freman,https://user-images.githubusercontent.com/46791116/120309828-96432880-c2cd-11eb-9f9e-80d58a33931c.png,https://user-images.githubusercontent.com/46791116/120485383-eee8f300-c3ab-11eb-883b-b2c770d5cdf8.png
13,Petyr Baelish,https://user-images.githubusercontent.com/46791116/120309859-a0fdbd80-c2cd-11eb-9364-1912f314eb66.png,https://user-images.githubusercontent.com/46791116/120484342-e2b06600-c3aa-11eb-9b63-f9a529f30dee.png
15,Robert De Niro,https://user-images.githubusercontent.com/46791116/120309961-becb2280-c2cd-11eb-8bee-c9d82c95016d.png,https://user-images.githubusercontent.com/46791116/120485350-eabcd580-c3ab-11eb-8581-9912cd00db2b.png
17,Samuel L Jackson,https://user-images.githubusercontent.com/46791116/120309990-cab6e480-c2cd-11eb-8fe6-6844ef8e99a5.png,https://user-images.githubusercontent.com/46791116/120485353-eb556c00-c3ab-11eb-9dc7-13dcd207990a.png
19,Tom Cruise,https://user-images.githubusercontent.com/46791116/120310058-dd311e00-c2cd-11eb-8228-d1a958773cab.png,https://user-images.githubusercontent.com/46791116/120485358-ebee0280-c3ab-11eb-89c2-d3e5248584b9.png
21,Tom Hanks,https://user-images.githubusercontent.com/46791116/120310092-e621ef80-c2cd-11eb-8168-b75c804fa802.png,https://user-images.githubusercontent.com/46791116/120485360-ebee0280-c3ab-11eb-9835-5b0400fdf564.png
23,Will Smith,https://user-images.githubusercontent.com/46791116/120310120-ef12c100-c2cd-11eb-92c2-26d49065667e.png,https://user-images.githubusercontent.com/46791116/120485362-ec869900-c3ab-11eb-923b-90c800163ab6.png
2,Angelina Jolie,https://user-images.githubusercontent.com/46791116/120310205-094c9f00-c2ce-11eb-81f0-dd4724f1f61d.png,https://user-images.githubusercontent.com/46791116/120485218-c95be980-c3ab-11eb-9d96-2490acf52a16.png
4,Charlize Theron,https://user-images.githubusercontent.com/46791116/120310247-15386100-c2ce-11eb-9e58-6c8cc5611e08.png,https://user-images.githubusercontent.com/46791116/120485239-ce209d80-c3ab-11eb-84bc-7e5944523140.png
6,Ema Stone,https://user-images.githubusercontent.com/46791116/120310265-1c5f6f00-c2ce-11eb-84f8-6a579c8032ce.png,https://user-images.githubusercontent.com/46791116/120485268-d4af1500-c3ab-11eb-9e81-efff5b5fdd18.png
8,Halle Berry,https://user-images.githubusercontent.com/46791116/120310291-25504080-c2ce-11eb-9337-7e4cc6ab7430.png,https://user-images.githubusercontent.com/46791116/120485287-d973c900-c3ab-11eb-835d-f36b7f721df2.png
10,Jennifer Aniston,https://user-images.githubusercontent.com/46791116/120310324-2ed9a880-c2ce-11eb-96f3-b2b86abde1ab.png,https://user-images.githubusercontent.com/46791116/120485299-de387d00-c3ab-11eb-8d06-609b0c145512.png
12,Jennifer Lowrence,https://user-images.githubusercontent.com/46791116/120310657-8415ba00-c2ce-11eb-8229-6e8fd1d61628.png,https://user-images.githubusercontent.com/46791116/120485302-ded11380-c3ab-11eb-8067-8612e00a32a0.png
14,Julianne Moore,https://user-images.githubusercontent.com/46791116/120310416-49138680-c2ce-11eb-81ec-4d81f224365a.png,https://user-images.githubusercontent.com/46791116/120485373-ed1f2f80-c3ab-11eb-9623-32da6710b82c.png
16,Margot Robbie,https://user-images.githubusercontent.com/46791116/120310717-968ff380-c2ce-11eb-9095-5305057044d7.png,https://user-images.githubusercontent.com/46791116/120485375-edb7c600-c3ab-11eb-904d-536610dbe76a.png
18,Meryl Streep,https://user-images.githubusercontent.com/46791116/120310758-a3ace280-c2ce-11eb-8016-e6cd47a5c844.png,https://user-images.githubusercontent.com/46791116/120485381-eee8f300-c3ab-11eb-883f-e9185cf4496f.png
20,Natalie Portman,https://user-images.githubusercontent.com/46791116/120310785-ab6c8700-c2ce-11eb-80ff-bbcaed4588b8.png,https://user-images.githubusercontent.com/46791116/120485346-e98ba880-c3ab-11eb-8a5d-3d03a7f6f75a.png
22,Nikol Kidman,https://user-images.githubusercontent.com/46791116/120310822-b45d5880-c2ce-11eb-873c-867f8a0fbeae.png,https://user-images.githubusercontent.com/46791116/120485348-ea243f00-c3ab-11eb-965b-cb57d0e6e7fb.png
24,Scarlette Johansson,https://user-images.githubusercontent.com/46791116/120310927-d0f99080-c2ce-11eb-9c68-c26f27ece344.png,https://user-images.githubusercontent.com/46791116/120485354-eb556c00-c3ab-11eb-8931-455cab435f31.png
25,Driouche Adnane,https://user-images.githubusercontent.com/46791116/120491855-7be27b00-c3b1-11eb-9b5a-9544331d87f8.png,https://user-images.githubusercontent.com/46791116/120485258-d24cbb00-c3ab-11eb-8825-7823ac985c9d.png
